case_id,t_model,t_cap,Longitude,Latitude
3095669,GE2.82-127,2820,-102.99839,39.056152
3050890,GE1.79-100,1790,-102.998299,40.997364
3073767,V100-2.0,2000,-102.998024,48.491825
3094839,GE2.82-127,2820,-102.997391,39.144215
3132233,GE2.82-127,2820,-102.99733,39.230267
3114698,GE2.5-116,2500,-102.996956,40.623947
3113140,GE2.82-127,2820,-102.996422,40.593838
3053739,SWT-2.3-108,2300,-102.996414,34.801277
3132212,GE2.32-116,2320,-102.995003,39.245205
3095473,GE2.82-127,2820,-102.994087,39.131775
3114989,GE2.82-127,2820,-102.993675,40.614361
3093640,GE2.82-127,2820,-102.993294,39.073635
3094030,GE2.82-127,2820,-102.992989,39.148365
3094415,GE2.82-127,2820,-102.992889,39.095722
3044947,GE1.5-77,1500,-102.992188,40.979294
3050891,GE1.79-100,1790,-102.991753,40.997204
3053379,V100-2.0,2000,-102.991631,48.491554
3095184,GE2.82-127,2820,-102.991188,39.052555
3053313,V100-2.0,2000,-102.990852,48.529919
3097936,GE2.82-127,2820,-102.99057,32.463943
3132048,GE2.82-127,2820,-102.990417,39.230122
3053367,V100-2.0,2000,-102.989609,48.470268
3131925,GE2.82-127,2820,-102.989571,39.20842
3053342,V100-2.0,2000,-102.988701,48.50732
3131656,GE2.32-116,2320,-102.988548,39.24482
3050897,GE1.79-100,1790,-102.988434,41.000233
3044961,GE1.5-77,1500,-102.987793,40.979393
3053314,V100-2.0,2000,-102.987503,48.533718
3094188,GE2.82-127,2820,-102.987488,39.073982
3053381,V100-2.0,2000,-102.987183,48.51548
3053378,V100-2.0,2000,-102.986977,48.492153
3113686,GE2.82-127,2820,-102.986839,40.639732
3113797,GE2.82-127,2820,-102.986549,40.625408
3053736,SWT-2.3-108,2300,-102.985878,34.779602
3053740,SWT-2.3-108,2300,-102.985863,34.801796
3094536,GE2.82-127,2820,-102.985588,39.095753
3094783,GE2.82-127,2820,-102.985092,39.052082
3053728,SWT-2.3-108,2300,-102.984566,34.771553
3095574,GE2.82-127,2820,-102.984489,39.160454
3132325,GE2.82-127,2820,-102.984352,39.207077
3093602,GE2.82-127,2820,-102.984291,39.134815
3053330,V100-2.0,2000,-102.984253,48.470528
3114029,GE2.82-127,2820,-102.984192,40.588406
3098423,GE2.82-127,2820,-102.983841,32.462807
3044962,GE1.5-77,1500,-102.98349,40.978893
3067427,NPS-100,100,-102.983292,42.679729
3053315,V100-2.0,2000,-102.983231,48.536095
3094631,GE2.82-127,2820,-102.983192,39.076633
3053316,V100-2.0,2000,-102.982979,48.542564
3061037,V100-2.0,2000,-102.982918,48.506435
3053371,V100-2.0,2000,-102.982689,48.550472
3061282,V100-2.0,2000,-102.982658,48.515457
3053318,V100-2.0,2000,-102.982513,48.55571
3053377,V100-2.0,2000,-102.98243,48.492069
3098436,GE2.82-127,2820,-102.982147,32.415012
3053343,V100-2.0,2000,-102.981674,48.564869
3132211,GE2.32-116,2320,-102.981499,39.245983
3132278,GE2.82-127,2820,-102.980171,39.18848
3053372,V100-2.0,2000,-102.980057,48.545578
3093988,GE2.82-127,2820,-102.979988,39.161884
3053331,V100-2.0,2000,-102.979301,48.472988
3019202,GE1.5-77,1500,-102.979187,40.980595
3053319,V100-2.0,2000,-102.978943,48.558292
3113865,GE2.82-127,2820,-102.978897,40.625301
3053329,V100-2.0,2000,-102.978836,48.465786
3132158,GE2.82-127,2820,-102.978752,39.206596
3073770,V100-2.0,2000,-102.978401,48.549648
3093682,GE2.82-127,2820,-102.978394,39.049953
3116426,GE2.82-127,2820,-102.978188,40.640682
3060932,V100-2.0,2000,-102.978157,48.515133
3053328,V100-2.0,2000,-102.978134,48.461327
3095686,GE2.82-127,2820,-102.977989,39.077763
3053751,SWT-2.3-108,2300,-102.977951,34.809921
3053344,V100-2.0,2000,-102.977951,48.567585
3053355,V100-2.0,2000,-102.977745,48.492176
3060835,V100-2.0,2000,-102.977562,48.506329
3097967,GE2.82-127,2820,-102.977554,32.370937
3050901,GE1.79-100,1790,-102.977287,40.991955
3131562,GE2.82-127,2820,-102.977089,39.251457
3044963,GE1.5-77,1500,-102.976089,40.981293
3053373,V100-2.0,2000,-102.975937,48.570927
3053737,SWT-2.3-108,2300,-102.975899,34.780361
3097988,GE2.82-127,2820,-102.975777,32.412273
3053337,V100-2.0,2000,-102.975616,48.519207
3093694,GE2.82-127,2820,-102.975487,39.141182
3093622,GE2.82-127,2820,-102.975189,39.167152
3053729,SWT-2.3-108,2300,-102.974976,34.772079
3114543,GE2.5-116,2500,-102.974632,40.617496
3114530,GE2.82-127,2820,-102.974586,40.589096
3114685,GE2.82-127,2820,-102.974579,40.649471
3053332,V100-2.0,2000,-102.974403,48.4715
