incident_name,Date ,Acres,Longitude,Latitude
Paskenta Fire,2016-06-21T10:26:00Z,43,-122.40142,39.93965
Ranchera Fire,2018-09-04T14:43:00Z,13,-122.400556,40.678889
Branstetter Fire ,2022-09-01T12:13:00Z,34,-122.3975,40.5336
Partrick Fire (Central LNU Complex),2017-10-08T23:48:00Z,8283,-122.39052,38.31802
Point Fire (Shasta and Tehama County),2020-10-25T09:56:31Z,275,-122.39033,40.38869
North Fire,2017-07-15T18:10:00Z,10,-122.38619,40.48972
Mill Fire,2022-09-02T12:49:00Z,3939,-122.3852,41.4303
Grizzly Fire,2020-03-02T14:08:05Z,154,-122.384532,39.774968
Stage Coach Fire,2014-09-11T15:14:00Z,27,-122.384054,38.695961
Masonic Fire,2018-10-14T11:33:00Z,38,-122.38366,40.60866
Lott Fire,2018-07-17T19:03:00Z,10,-122.37985,41.632373
Pope Fire,2020-10-23T17:25:43Z,61,-122.37828,38.56184
Beswick Fire,2021-06-28T18:14:00Z,118,-122.374848,41.917209
Boles Fire,2014-09-15T13:38:00Z,516,-122.37432,41.42384
Table Fire,2016-07-21T20:30:00Z,23,-122.36924,41.71847
Evergreen Fire ,2022-03-12T13:17:00Z,12,-122.3685584,41.4455854
Bogus Fire,2017-06-18T15:45:00Z,56,-122.36545,41.93006
Black Fire,2015-07-04T16:33:00Z,170,-122.3638,39.8448
Grade Fire,2018-08-30T15:44:00Z,60,-122.3625,38.8275
Cabrillo Fire,2019-10-24T20:15:36Z,62,-122.361112,37.166674
Ridge Fire,2022-06-26T08:13:12Z,12,-122.359698,41.317476
Hill Fire,2020-07-24T17:47:17Z,138,-122.359663,39.013591
Rocky Fire,2019-06-14T16:14:00Z,17,-122.35962,41.64895
Apple Fire,2018-06-09T14:10:00Z,2956,-122.3571,39.94355
Silverado Fire,2013-04-30T23:44:00Z,75,-122.350844,38.441792
Salt Fire,2021-06-30T14:55:56Z,12660,-122.348956,40.860525
Tehama Fire,2014-06-13T12:23:00Z,225,-122.345078,40.009827
Oregon Gulch Fire (part of the Beaver Complex),2014-07-30T23:00:00Z,35302,-122.345,42.048
Olinda Fire,2020-10-25T14:22:27Z,5,-122.342,40.41486
Chiles Fire,2015-06-16T14:27:00Z,38,-122.3415,38.5287
97 Fire,2022-09-27T08:54:50Z,30,-122.3414,41.4987
Martin Fire,2018-06-03T16:14:00Z,37,-122.33769,41.58233
Paskenta Fire,2013-07-19T13:32:00Z,195,-122.330879,39.961309
Black Fire,2018-06-03T08:55:00Z,10,-122.3307,39.80827
Lava Fire,2021-06-24T20:35:24Z,26409,-122.329,41.459
Thirty Five Fire,2023-08-17T12:36:00Z,109,-122.3287,39.6194
Wonder Fire,2023-07-24T16:15:00Z,162,-122.3232056,40.7316228
Live Fire,2017-07-28T13:24:00Z,57,-122.3209,40.1583
Fawn Fire,2021-09-22T16:45:00Z,8578,-122.320243,40.729811
Peter Fire ,2022-07-14T16:56:00Z,304,-122.3182313,40.4411992
Silverado Fire,2013-11-21T21:39:00Z,190,-122.311,38.382
Spring Fire ,2019-08-14T12:52:00Z,20,-122.309167,39.088333
 Bridge Fire,2017-10-31T11:22:00Z,37,-122.309,40.774
Adams Fire,2018-11-05T10:17:00Z,60,-122.308479,40.346652
Paskenta Fire,2019-05-20T10:57:00Z,63,-122.30737,39.98097
Skeggs Fire,2017-09-11T19:41:00Z,50,-122.3001,37.41591
Plymire Fire,2018-06-01T16:07:00Z,23,-122.29388,40.201826
Bradley Fire,2017-08-28T22:00:00Z,54,-122.292,41.222
Putah Fire,2013-10-03T20:33:00Z,376,-122.289,38.628
North Butano Fire,2021-01-18T21:00:00Z,15,-122.28823,37.18259
Roser Fire,2017-11-02T14:40:00Z,43,-122.28165,39.81517
Canal Fire ,2021-10-14T16:49:00Z,59,-122.277441,39.986836
Edgewood,2022-06-21T14:30:00Z,20,-122.27742,37.459222
Stoll Fire,2018-06-23T12:52:00Z,268,-122.27574,40.18395
Wilder Fire,2022-05-24T11:27:12Z,90,-122.275649,40.150329
Bradley Fire,2017-08-28T21:38:00Z,54,-122.27499,41.222
Paskenta Fire,2017-06-24T11:15:00Z,42,-122.27379,40.10282
Old Fire,2022-05-31T15:35:00Z,570,-122.270417,38.370078
Baker Fire,2016-08-03T17:27:00Z,80,-122.26736,40.19611
Refuge Fire,2017-06-13T10:18:00Z,22,-122.2654,38.68347
Syar Fire,2018-08-09T14:21:00Z,10,-122.26389,38.27229
Knoxville Fire,2016-08-09T18:50:00Z,36,-122.26015,38.68403
Mare Fire,2019-09-26T15:29:06Z,30,-122.2561111,38.07944444
Willow Fire,2017-07-08T15:26:00Z,370,-122.25544,38.02929
Freeway Fire,2017-10-08T12:15:00Z,10,-122.255,40.24789
California Fire,2020-07-06T15:32:26Z,298,-122.25471,38.02996
Rawson Fire,2019-10-27T02:47:20Z,605,-122.25421,40.00171
Gilbert Fire,2019-08-04T17:18:21Z,30,-122.25409,40.55924
Canyon Fire,2017-08-11T12:57:00Z,114,-122.2483,38.49336
36 Fire,2017-10-03T16:22:00Z,20,-122.24731,40.20077
Nustar Fire,2019-10-15T16:17:18Z,15,-122.245186,38.045866
Atlas Fire (Southern LNU Complex),2017-10-09T21:52:00Z,51624,-122.24367,38.39206
